"slug","type","title","subtitle","author","description","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","keyword_6","keyword_7","category_1","category_2","category_3","kindle_epub","ebook_cover_jpg","paperback_pdf","paperback_page_count","paperback_status","paperback_trim","paperback_bleed","paperback_cover_note","direct_store_price_anchor","ai_disclosure_note"
"reinvention-workbook","Ebook","The Reinvention Workbook","A guided writing workbook for people in the middle of becoming someone new.","MK Parrish","You are not lost. You are between drafts.  The Reinvention Workbook is a guided writing workbook for the season when you have outgrown a life that still has your name on it. Through identity audits, story excavation, voice prompts, and next-chapter drafting exercises, MK Parrish helps readers move from vague restlessness to specific language they can actually use.  This is not a personality quiz or a five-step reinvention formula. It is a writing practice for people becoming someone new one honest sentence at a time.","reinvention workbook","identity audit prompts","life transition writing","guided journaling exercises","personal transformation workbook","self discovery writing","becoming yourself workbook","Self-Help > Personal Transformation","Self-Help > Creativity","Reference > Writing Skills","public/downloads/ebooks/reinvention-workbook.epub","public/downloads/covers/reinvention-workbook-cover.jpg","public/downloads/ebooks/reinvention-workbook.pdf","11","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$18","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"write-yourself-into-the-room","Ebook","Write Yourself Into the Room","The personal brand writing guide for people tired of sounding like everyone else.","MK Parrish","There is a room you want to be in: the shortlist, the panel, the client roster, the feed where the right people actually read your work.  Write Yourself Into the Room is a practical personal-brand writing guide for people who are tired of sounding generic online. Inside, MK Parrish walks readers through positioning, bio writing, LinkedIn copy, and public voice with templates, examples, and sentence-level exercises.  The promise is simple: stop hiding behind polished vagueness and write yourself so clearly that the room knows why you belong there.","personal brand writing","linkedin bio workbook","professional bio examples","positioning statement guide","write better linkedin profile","personal branding for founders","career pivot storytelling","Business & Money > Job Hunting & Careers","Business & Money > Marketing & Sales","Self-Help > Personal Success","public/downloads/ebooks/write-yourself-into-the-room.epub","public/downloads/covers/write-yourself-into-the-room-cover.jpg","public/downloads/ebooks/write-yourself-into-the-room.pdf","13","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$28","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"brand-voice-playbook","Ebook","The Brand Voice Playbook","Build a brand voice document from scratch.","MK Parrish","Most brands do not have a voice. They have a committee average.  The Brand Voice Playbook is a hands-on guide to building a brand voice document from scratch. MK Parrish walks readers through voice versus tone, tone spectrum mapping, audience language, do-and-do-not vocabulary, platform calibration, and a complete voice-guide structure.  Designed for founders, operators, marketers, and copywriters, this workbook turns brand voice from a vague vibe into a usable system.","brand voice guide","tone of voice framework","messaging strategy workbook","brand style guide","copywriting for small business","voice and tone guide","marketing copy system","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","Reference > Writing Skills","public/downloads/ebooks/brand-voice-playbook.epub","public/downloads/covers/brand-voice-playbook-cover.jpg","public/downloads/ebooks/brand-voice-playbook.pdf","15","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$35","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-invisible-bruise","Ebook","The Invisible Bruise","Surviving emotional abuse, suffering in silence, and rewriting your life.","MK Parrish","Emotional abuse leaves no visible mark. That is part of what makes it so hard to name.  The Invisible Bruise is a compassionate guide for readers who are beginning to understand what happened to them and how to rebuild after it. Through clear language, reflection prompts, and grounded encouragement, MK Parrish helps readers name the patterns, trust their own senses again, and begin writing a life that is no longer arranged around someone else's control.  This book is tender, direct, and written for the person who has gotten very good at being fine.","emotional abuse recovery","gaslighting healing workbook","invisible abuse survival","rebuild after toxic relationship","trauma writing prompts","silent suffering recovery","reclaim your voice","Self-Help > Abuse","Health, Fitness & Dieting > Mental Health","Family & Relationships > Abuse","public/downloads/ebooks/the-invisible-bruise.epub","public/downloads/covers/the-invisible-bruise-cover.jpg","public/downloads/ebooks/the-invisible-bruise.pdf","17","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$22","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"decoding-angel-numbers","Ebook","Decoding Angel Numbers","A Skeptic's Guide to Spiritual Curiosity","MK Parrish","This is not a glossary of magical meanings.  Decoding Angel Numbers is a grounded guide for spiritually curious readers who keep noticing patterns and want a more thoughtful way to engage them. Rather than treating repeating numbers as commands or predictions, MK Parrish frames noticing as a spiritual discipline: a way to pay attention, ask better questions, and practice discernment.  For the reader who is curious but not gullible, skeptical but not closed, this book offers a framework for meaning without surrendering common sense.","angel numbers guide","spiritual curiosity","numerology skeptic","signs and synchronicity","pattern noticing practice","spiritual discernment","meaning of repeating numbers","Religion & Spirituality > New Age & Spirituality > Numerology","Religion & Spirituality > Spirituality","Self-Help > Spiritual","public/downloads/ebooks/decoding-angel-numbers.epub","public/downloads/covers/decoding-angel-numbers-cover.jpg","public/downloads/ebooks/decoding-angel-numbers.pdf","13","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$14","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-study","Ebook","The Study","A modern guide to building a Bible study practice that actually sticks - on your own terms.","MK Parrish","The problem was never you. The problem was the method.  The Study is a modern, shame-free guide to building a Bible study practice that fits the life and brain you actually have. MK Parrish offers practical methods for reading, noticing, remembering, and returning to Scripture without performance, guilt, or the pressure to do it perfectly.  For readers who have tried and quit before, this book offers a gentler way back into the text.","bible study practice","scripture study guide","bible study methods","modern bible study workbook","spiritual discipline","scripture journaling","faith study routine","Christian Books & Bibles > Bible Study & Reference","Christian Books & Bibles > Christian Living > Spiritual Growth","Religion & Spirituality > Worship & Devotion","public/downloads/ebooks/the-study.epub","public/downloads/covers/the-study-cover.jpg","public/downloads/ebooks/the-study.pdf","15","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$18","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"gospel-and-grind","Ebook","Gospel & Grind","Build a profitable practice grounded in what you believe - without feeling like you're selling your faith.","MK Parrish","Money is not the opposite of meaning.  Gospel & Grind is a practical guide for faith-based creators and entrepreneurs who want their work, values, and revenue to stop living in separate rooms. MK Parrish helps readers align what they believe with what they sell, build pricing that does not make them flinch, and position their work without manipulation or spiritual performance.  This is a bridge between calling and business, written for people who want integrity and income in the same sentence.","faith based business","christian entrepreneur workbook","values based positioning","monetize ministry ethically","profitable practice faith","business and calling","spiritual entrepreneurship","Christian Books & Bibles > Christian Living","Business & Money > Entrepreneurship","Business & Money > Marketing & Sales","public/downloads/ebooks/gospel-and-grind.epub","public/downloads/covers/gospel-and-grind-cover.jpg","public/downloads/ebooks/gospel-and-grind.pdf","14","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$28","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-sermon-notes","Ebook","The Sermon Notes","Turn your personal Bible study into content your audience wants - and that you can charge for.","MK Parrish","You are not out of ideas. You are sitting on a goldmine and calling it a diary.  The Sermon Notes is a practical content system for turning personal Bible study into useful, shareable, audience-building work. MK Parrish walks readers through a pipeline from study to capture to sorting to formatting to distribution, with plug-and-play content formats and a pathway from free posts to paid offers.  It is for creators, ministry leaders, and faith-based writers who want their study life to become a body of work.","sermon notes content","bible study content system","faith creator content","ministry content planning","scripture to social media","Christian content strategy","monetize bible study","Christian Books & Bibles > Ministry & Evangelism","Christian Books & Bibles > Bible Study & Reference","Business & Money > Marketing & Sales","public/downloads/ebooks/the-sermon-notes.epub","public/downloads/covers/the-sermon-notes-cover.jpg","public/downloads/ebooks/the-sermon-notes.pdf","13","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$25","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-calling-card","Ebook","The Calling Card","Build a faith-informed brand voice that connects, converts, and stays true to who you are.","MK Parrish","Your voice is not decoration on the brand. It is the brand.  The Calling Card is a faith-informed brand voice workbook for creators, founders, and ministry leaders who want their work to sound like a real person instead of a greeting card or a sales funnel. MK Parrish guides readers through voice dials, audience language, platform calibration, reverence, testimony boundaries, and a one-page calling card they can use before publishing.  It is built for readers who want connection, conversion, and integrity in the same voice.","faith brand voice","Christian brand strategy","faith based copywriting","ministry messaging","audience language mapping","spiritual business voice","calling statement workbook","Business & Money > Marketing & Sales","Christian Books & Bibles > Christian Living","Reference > Writing Skills","public/downloads/ebooks/the-calling-card.epub","public/downloads/covers/the-calling-card-cover.jpg","public/downloads/ebooks/the-calling-card.pdf","12","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$35","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"ministry-monetized","Ebook","Ministry, Monetized","The Launch & Revenue Playbook for Faith-Based Creators","MK Parrish","You have the message. Now you need to make it pay without becoming someone else.  Ministry, Monetized is a launch and revenue playbook for faith-based creators who want sustainable income without manipulation, manufactured urgency, or integrity leaks. MK Parrish walks readers through pre-launch clarity, launch messaging, post-launch review, and revenue architecture that can support the work for years.  This is a practical, honest guide to building revenue around a calling without cheapening the calling itself.","ministry monetization","faith based launch plan","Christian creator revenue","ethical launch strategy","faith business templates","revenue for creators","sell without manipulation","Christian Books & Bibles > Ministry & Evangelism","Business & Money > Entrepreneurship","Business & Money > Marketing & Sales","public/downloads/ebooks/ministry-monetized.epub","public/downloads/covers/ministry-monetized-cover.jpg","public/downloads/ebooks/ministry-monetized.pdf","14","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$42","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-edit-diy","Template","The Edit","DIY Edition","MK Parrish","Most writing is not bad. It is just unedited.  The Edit: DIY Edition turns MK Parrish's client copy-editing framework into a self-guided workbook. Readers move through copy audit, brand-voice edit, and line edit passes that sharpen bios, emails, landing pages, LinkedIn posts, and other public-facing writing.  This is not proofreading. It is the layer above: the question of whether the writing is true, specific, voiced, and doing the job it came to do.","copy editing checklist","brand voice edit","line editing workbook","edit your writing","copy audit framework","improve website copy","professional writing self edit","Reference > Writing Skills","Business & Money > Skills","Business & Money > Marketing & Sales","public/downloads/templates/the-edit-diy.epub","public/downloads/covers/the-edit-diy-cover.jpg","public/downloads/templates/the-edit-diy.pdf","16","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$22","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"before-the-session","Template","Before the Session","The pre-work that turns a strategy session into something you actually use.","MK Parrish","The best strategy sessions start before the call.  Before the Session is a self-guided prep workbook for founders, professionals, and creators who want to arrive at a strategy conversation already clear on the real problem. MK Parrish leads readers through identity, positioning, brand clarity, inner resistance, and goal-setting exercises that make the hour useful before it begins.  Use it before a consulting session, before a brand audit, or anytime you need to think clearly before asking for outside help.","strategy session prep","positioning self audit","brand clarity workbook","consultant prework","business goal setting","session prep guide","identity positioning audit","Business & Money > Consulting","Business & Money > Entrepreneurship","Self-Help > Personal Success","public/downloads/templates/before-the-session.epub","public/downloads/covers/before-the-session-cover.jpg","public/downloads/templates/before-the-session.pdf","19","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$18","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-rewrite-playbook","Template","The Rewrite Playbook","A self-guided LinkedIn and professional story overhaul.","MK Parrish","You are being read right now. The question is whether the page still tells the truth.  The Rewrite Playbook is a self-guided professional story and LinkedIn overhaul for executives, founders, career changers, and anyone whose public bio no longer matches the person they have become. MK Parrish walks readers through story audit, positioning statement, LinkedIn rebuild, and bio rewrites in multiple lengths.  It is for people ready to stop decorating the old story and write the real one straight.","linkedin rewrite workbook","professional story audit","career pivot narrative","positioning statement builder","executive bio templates","personal brand overhaul","profile optimization","Business & Money > Job Hunting & Careers","Business & Money > Marketing & Sales","Self-Help > Personal Success","public/downloads/templates/the-rewrite-playbook.epub","public/downloads/covers/the-rewrite-playbook-cover.jpg","public/downloads/templates/the-rewrite-playbook.pdf","25","Ready as 6 x 9 no-bleed interior","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$45","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-new-chapter-workbook","Template","The New Chapter Workbook","The brand and website repositioning framework - run it yourself.","MK Parrish","Your business changed and your website did not.  The New Chapter Workbook is a brand and website repositioning framework for founders and business owners whose current site is selling an old version of the work. MK Parrish guides readers through brand audit, positioning map, website copy architecture, voice reset, and launch checklist.  It is a practical workbook for a pivot, rebrand, relaunch, or return.","brand repositioning workbook","website copy audit","rebrand strategy guide","brand messaging reset","launch copy checklist","positioning map","website relaunch workbook","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","Computers & Technology > Web Design","public/downloads/templates/the-new-chapter-workbook.epub","public/downloads/covers/the-new-chapter-workbook-cover.jpg","public/downloads/templates/the-new-chapter-workbook.pdf","20","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$35","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-byline-method","Template","The Byline Method","The voice capture and ghostwriting framework.","MK Parrish","Ghostwriting that works does not sound ghostwritten.  The Byline Method documents MK Parrish's voice-capture and ghostwriting framework for founders, executives, writers, and content leads. Readers learn how to interview for voice, calibrate tone across formats, write inside someone else's patterns, and maintain an editorial calendar that keeps the voice consistent.  Use it to ghostwrite for a client or to capture your own best voice and return to it when the blank page gets loud.","ghostwriting framework","voice capture interview","thought leadership writing","founder ghostwriting","editorial calendar template","write in someone's voice","executive content system","Reference > Writing Skills","Business & Money > Marketing & Sales","Business & Money > Skills","public/downloads/templates/the-byline-method.epub","public/downloads/covers/the-byline-method-cover.jpg","public/downloads/templates/the-byline-method.pdf","21","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$38","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-build-copy-guide","Template","The Build","Copy Guide","MK Parrish","A beautiful website with weak copy is a beautiful building with no address.  The Build: Copy Guide is a page-by-page website copy framework for founders and business owners writing or briefing a new site. MK Parrish breaks down positioning, homepage structure, services pages, about pages, contact CTAs, and the review process that separates copy that converts from copy that only sounds nice.  It is built for people who need every word on the site to work.","website copy guide","homepage copy template","service page copy","website messaging framework","conversion copy workbook","founder website copy","copywriting for business owners","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","Computers & Technology > Web Marketing","public/downloads/templates/the-build-copy-guide.epub","public/downloads/covers/the-build-copy-guide-cover.jpg","public/downloads/templates/the-build-copy-guide.pdf","11","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$45","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-social-strategy-playbook","Template","The Social Strategy Playbook","A Content System You'll Actually Use","MK Parrish","Most people do not have a content problem. They have a system problem.  The Social Strategy Playbook is a self-guided content strategy workbook for founders and thought leaders who need a repeatable system instead of relying on inspiration. MK Parrish walks readers through audience clarity, content pillars, platform-calibrated voice, a 30-day content sprint, and a posting system that survives busy weeks.  It is the strategy behind The Social Suite, documented so readers can run it themselves.","content strategy workbook","social media content system","content pillar framework","30 day content plan","brand voice for social","founder content strategy","posting system","Business & Money > Marketing & Sales > Social Media","Business & Money > Marketing & Sales","Computers & Technology > Web Marketing","public/downloads/templates/the-social-strategy-playbook.epub","public/downloads/covers/the-social-strategy-playbook-cover.jpg","public/downloads/templates/the-social-strategy-playbook.pdf","10","Not ready: under 24 pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$38","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"scripture-and-strategy","Course","Scripture & Strategy","A complete faith-based business curriculum - from study practice to sustainable income.","MK Parrish","Scripture & Strategy is a faith-based business curriculum for creators, founders, and ministry-minded builders who want study, calling, voice, offers, content, and revenue to work together.  Across eight modules, MK Parrish moves from source and study to calling, voice, offer architecture, content pipeline, revenue engine, and obedience after the launch. The result is a grounded curriculum for building something sustainable without splitting faith from strategy.","faith based business curriculum","scripture and strategy","Christian creator course","build offers from calling","faith led marketing","sustainable ministry income","Christian business framework","Christian Books & Bibles > Ministry & Evangelism","Business & Money > Entrepreneurship","Christian Books & Bibles > Christian Living","public/downloads/scripture-and-strategy.epub","public/downloads/covers/scripture-and-strategy-cover.jpg","public/downloads/scripture-and-strategy.pdf","46","Ready as 6 x 9 no-bleed interior","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$497","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-vault","Bundle intro","The Vault","Every framework, every guide, every word - the complete library, in one place.","MK Parrish","The Vault is the complete MK Parrish writing-and-identity library in one self-study map.  This short guide introduces the works inside the library, explains what each one is for, and helps readers choose where to begin depending on the season they are in: reinvention, healing, personal brand writing, brand voice, or spiritual curiosity.  Upload note: this file is best treated as a Kindle-only companion or library guide unless expanded for paperback length.","writing and identity library","self study library","reinvention writing prompts","identity and voice workbooks","personal brand and healing","creative self discovery","writing guides for reinvention","Self-Help > Personal Transformation","Reference > Writing Skills","Self-Help > Creativity","public/downloads/the-vault.epub","public/downloads/covers/the-vault-cover.jpg","public/downloads/the-vault.pdf","7","Not recommended until expanded to 24+ pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$97","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
"the-services-vault","Bundle intro","The Services Vault","Every consulting methodology I run with clients - documented as a self-study library.","MK Parrish","The Services Vault is a self-study map to MK Parrish's consulting methodologies.  This short guide introduces the service companion guides inside the library, including website copy, LinkedIn rewrites, content strategy, ghostwriting, copy editing, repositioning, and strategy-session prep. It helps readers choose the right guide for the job in front of them.  Upload note: this file is best treated as a Kindle-only companion or library guide unless expanded for paperback length.","consulting method library","DIY service guides","copywriting templates","brand strategy workbooks","website social content systems","ghostwriting framework","business writing tools","Business & Money > Consulting","Business & Money > Marketing & Sales","Business & Money > Entrepreneurship","public/downloads/the-services-vault.epub","public/downloads/covers/the-services-vault-cover.jpg","public/downloads/the-services-vault.pdf","7","Not recommended until expanded to 24+ pages","6 x 9 in","No bleed","Use KDP Cover Creator with front JPG or create full wrap PDF from final page count/template.","$127","Review and answer truthfully in KDP. Safe default for the current generated files: disclose AI-generated text and interior artwork/images where Codex-generated text, SVG visuals, or generated cover/interior assets remain in the uploaded book. If you replace those sections with entirely human-created text/art before upload and use AI only for editing, follow KDP guidance for AI-assisted content."
